distance,largest_cc,second_largest_cc,number_of_stores,regions,n_regions,second_region,first_region,ratio
9120.6152,176,27,235,"{'Hovedstaden': 170, 'Sjælland': 6}",2.0,6.0,170.0,0.03409090909090909
9198.278400000001,177,27,236,"{'Hovedstaden': 171, 'Sjælland': 6}",2.0,6.0,171.0,0.03389830508474576
9275.9416,177,27,236,"{'Hovedstaden': 171, 'Sjælland': 6}",2.0,6.0,171.0,0.03389830508474576
9353.604800000001,177,27,237,"{'Hovedstaden': 171, 'Sjælland': 6}",2.0,6.0,171.0,0.03389830508474576
9431.268,177,27,237,"{'Hovedstaden': 171, 'Sjælland': 6}",2.0,6.0,171.0,0.03389830508474576
9508.9312,178,27,238,"{'Hovedstaden': 172, 'Sjælland': 6}",2.0,6.0,172.0,0.033707865168539325
9586.5944,180,28,241,"{'Hovedstaden': 174, 'Sjælland': 6}",2.0,6.0,174.0,0.03333333333333333
9664.2576,180,28,241,"{'Hovedstaden': 174, 'Sjælland': 6}",2.0,6.0,174.0,0.03333333333333333
9741.9208,182,28,243,"{'Hovedstaden': 174, 'Sjælland': 8}",2.0,8.0,174.0,0.04395604395604396
9819.584,182,28,243,"{'Hovedstaden': 174, 'Sjælland': 8}",2.0,8.0,174.0,0.04395604395604396
9897.2472,183,29,245,"{'Hovedstaden': 174, 'Sjælland': 9}",2.0,9.0,174.0,0.04918032786885246
9974.9104,183,29,245,"{'Hovedstaden': 174, 'Sjælland': 9}",2.0,9.0,174.0,0.04918032786885246
10052.5736,184,29,246,"{'Hovedstaden': 175, 'Sjælland': 9}",2.0,9.0,175.0,0.04891304347826087
10130.2368,184,29,247,"{'Hovedstaden': 175, 'Sjælland': 9}",2.0,9.0,175.0,0.04891304347826087
10207.9,184,29,247,"{'Hovedstaden': 175, 'Sjælland': 9}",2.0,9.0,175.0,0.04891304347826087
10285.5632,184,29,247,"{'Hovedstaden': 175, 'Sjælland': 9}",2.0,9.0,175.0,0.04891304347826087
10363.2264,185,29,248,"{'Hovedstaden': 176, 'Sjælland': 9}",2.0,9.0,176.0,0.04864864864864865
10440.8896,186,29,249,"{'Hovedstaden': 177, 'Sjælland': 9}",2.0,9.0,177.0,0.04838709677419355
10518.552800000001,186,29,249,"{'Hovedstaden': 177, 'Sjælland': 9}",2.0,9.0,177.0,0.04838709677419355
10596.216,186,29,249,"{'Hovedstaden': 177, 'Sjælland': 9}",2.0,9.0,177.0,0.04838709677419355
10673.879200000001,186,30,250,"{'Hovedstaden': 177, 'Sjælland': 9}",2.0,9.0,177.0,0.04838709677419355
10751.5424,187,30,251,"{'Hovedstaden': 178, 'Sjælland': 9}",2.0,9.0,178.0,0.0481283422459893
10829.205600000001,188,30,252,"{'Hovedstaden': 179, 'Sjælland': 9}",2.0,9.0,179.0,0.047872340425531915
10906.8688,189,30,253,"{'Hovedstaden': 180, 'Sjælland': 9}",2.0,9.0,180.0,0.047619047619047616
10984.532000000001,189,30,253,"{'Hovedstaden': 180, 'Sjælland': 9}",2.0,9.0,180.0,0.047619047619047616
