store_name,region,cluster,cluster_bool,urban_rural,entropy
53653850-91e9-4ce0-903b-13d0509dff06,Hovedstaden,4,In-Cluster Store,Urban,0.8039946872779167
30b85210-354e-4eb5-927b-70926adbdb49,Hovedstaden,4,In-Cluster Store,Urban,0.7679230288255943
bb4e3258-5558-4a3f-a9be-e2cc09b7d9db,Hovedstaden,4,In-Cluster Store,Urban,0.8249806595876046
1a909014-27d6-47c3-9e04-c5944897057d,Sjælland,4,In-Cluster Store,Urban,0.8173807136739816
8093199f-aff0-46a1-8c93-324c396ab124,Sjælland,4,In-Cluster Store,Urban,0.7928530616945437
9408acbd-cb40-4141-af6f-d7251c081295,Sjælland,3,In-Cluster Store,Urban,0.8079648976531547
abf3e824-bce6-4df5-b840-f4d7d88ae6d9,Hovedstaden,4,In-Cluster Store,Urban,0.8183718120225685
b736a5b1-ae86-4484-a056-46f0784d6ac7,Hovedstaden,4,In-Cluster Store,Urban,0.8090151586011702
2f69ff57-66f6-4fa8-bf11-6a9e4db571a5,Hovedstaden,4,In-Cluster Store,Urban,0.8200916812304044
35d40e97-e621-4b32-997d-9311f4184ad1,Sjælland,4,In-Cluster Store,Urban,0.8279872564472027
968c4f55-7b56-4a20-ac08-d6be9706985a,Sjælland,4,In-Cluster Store,Urban,0.7956867228345694
8621473e-d7bc-4d8f-890d-dc1a8d986854,Hovedstaden,4,In-Cluster Store,Urban,0.8039383967083908
47a665a5-29f4-4891-a357-4e4b65c3b546,Sjælland,-1,Isolated Store,Rural,0.8214595482820092
0e6f15e1-797f-4933-8f60-352c9a789bc5,Hovedstaden,4,In-Cluster Store,Urban,0.7691589244512729
3ee033f5-ad3a-49ef-b570-26cef676b821,Midtjylland,-1,Isolated Store,Rural,0.7990082824659018
c1a5ebc2-bf7e-452f-9a22-6365595c9cd9,Syddanmark,-1,Isolated Store,Rural,0.8150417113530398
7d6ef327-9115-4d03-8610-0cc85409a627,Syddanmark,-1,Isolated Store,Rural,0.8248921634337127
ac4e41b8-5f91-4f28-8bcf-0abfe9b03a7f,Syddanmark,-1,Isolated Store,Rural,0.827282188672105
0304cd88-b6cc-4bec-b3b5-8f559668a9a0,Syddanmark,-1,Isolated Store,Rural,0.8278632702271291
0b666c0a-9dce-448b-ad10-643c625a4aff,Nordjylland,-1,Isolated Store,Rural,0.8200596489600569
d9cda428-982b-44d7-8890-5690de6e0e02,Midtjylland,-1,Isolated Store,Urban,0.8030767108681409
28fcd8c0-ac7d-497a-82b0-1aca9651fa18,Midtjylland,1,In-Cluster Store,Rural,0.8217182785942603
518db451-284c-43ae-a3f0-f4cef67c8f19,Syddanmark,2,In-Cluster Store,Urban,0.8005565833186318
6c5f5ae5-3bea-4f5e-9707-2d137d239cd7,Midtjylland,-1,Isolated Store,Urban,0.8218206701586337
f609fd5f-99de-495a-b986-4d6935e85dca,Midtjylland,-1,Isolated Store,Rural,0.8313379973949429
89b2c8c4-c794-4ac5-8d53-5410877b82f8,Nordjylland,-1,Isolated Store,Rural,0.8388008879099514
625cd0d4-53a6-4cac-90df-211341f1546e,Syddanmark,2,In-Cluster Store,Urban,0.8215652158837493
21a20d8f-bbe4-44d2-816f-97f90b709b86,Syddanmark,-1,Isolated Store,Urban,0.8269891043108184
da045fe7-2fd2-4749-908e-5a17b5854ea5,Nordjylland,-1,Isolated Store,Rural,0.8040031279241828
75a82841-37af-49eb-a7b9-c95b70254b06,Syddanmark,-1,Isolated Store,Rural,0.8483114749516082
53a55eb7-963a-480c-89d2-dc5957753e01,Midtjylland,-1,Isolated Store,Rural,0.8304962160951672
9dfa16c2-dd08-42b8-9d0c-13608b3ca666,Syddanmark,-1,Isolated Store,Urban,0.814634161893654
85f2209c-9162-4e53-a277-5aa0d92cfe3d,Syddanmark,-1,Isolated Store,Rural,0.7972865666282347
fe1b32a9-ddd2-485f-8fe6-93af6bfe8808,Midtjylland,-1,Isolated Store,Rural,0.806705029950753
902d3fe7-c4f5-460e-b4de-b232b230c789,Syddanmark,2,In-Cluster Store,Urban,0.8432156823591215
746c1205-366a-4441-9cc6-51e4e6254f66,Midtjylland,1,In-Cluster Store,Urban,0.8172657939524982
8b8a3995-0e9b-4625-aaaa-8f185c136157,Nordjylland,0,In-Cluster Store,Rural,0.8213375696082589
bd9a63ca-5578-48a0-a793-b8adb6d2c5f7,Midtjylland,1,In-Cluster Store,Urban,0.8494439038853342
fa204821-306d-4cb5-9db0-d4cfa9562651,Midtjylland,-1,Isolated Store,Rural,0.824681761365544
73d3e7b2-3325-4fa3-ab79-e59326fde93a,Midtjylland,-1,Isolated Store,Urban,0.8258378646968677
52dca4c7-882e-44d8-9ea5-bb77a818fe74,Syddanmark,-1,Isolated Store,Urban,0.8230511845778606
354e5a9a-4d6f-4b24-a36d-e782728736bc,Syddanmark,-1,Isolated Store,Rural,0.8179862094399738
70215fdb-4481-4cc4-b290-643ad1cf7353,Midtjylland,1,In-Cluster Store,Urban,0.7971162257640676
12480e12-729a-4324-9570-ea1904dc2304,Syddanmark,-1,Isolated Store,Urban,0.8486913562684336
a1deb3ab-828d-4995-9d1f-06317e239fc9,Syddanmark,2,In-Cluster Store,Rural,0.8268281735863332
977c7f98-22e0-4b83-8c0c-7d632dec8c0d,Syddanmark,-1,Isolated Store,Rural,0.792205123751502
299ec483-f3d3-4790-831c-377a9c56a219,Syddanmark,-1,Isolated Store,Rural,0.831742972522666
4a1759ed-fe2f-47e4-ab5f-f2eb2fddc18f,Syddanmark,1,In-Cluster Store,Rural,0.8427144163017906
d9719c92-566f-461a-86b6-9ed9c5d1b9e7,Midtjylland,-1,Isolated Store,Urban,0.8382852971042566
f80a21f3-6c93-4326-8782-8f8a2f6b3dfa,Nordjylland,0,In-Cluster Store,Urban,0.8364533655189975
f1d0653c-99bf-468d-b915-d72fb3c26a4f,Syddanmark,-1,Isolated Store,Urban,0.8207478013208273
02545e07-6585-43ff-bfbf-09a076fc64f0,Syddanmark,2,In-Cluster Store,Urban,0.8167811148511175
8a266e34-6a71-4aee-977a-590718fddec3,Midtjylland,1,In-Cluster Store,Urban,0.82149046782359
3aba940c-f246-400d-a969-c28f33ea7e35,Syddanmark,-1,Isolated Store,Urban,0.8268074569418857
479b6841-5b8f-4005-badb-33e1bb89e1df,Syddanmark,1,In-Cluster Store,Rural,0.8081006578915708
61eaa1ba-649b-4050-bcb9-d5e5585b3ae6,Midtjylland,-1,Isolated Store,Urban,0.8493354724146741
68eabdb2-44f8-42ed-9602-df6bbabcf725,Midtjylland,-1,Isolated Store,Rural,0.8173286005040286
