p_value,mantel_r,bin_centers,p_value_distance,mantel_distance
0.001,0.12308211668785592,13819.238800000001,0.002,0.081378307606505
0.001,0.12330554842413964,13896.902000000002,0.002,0.08115601634918729
0.001,0.12330554842413964,13974.565200000001,0.003,0.08115601634918729
0.001,0.12330554842413964,14052.2284,0.001,0.08115601634918729
0.001,0.12330554842413964,14129.8916,0.002,0.08115601634918729
0.001,0.12330554842413964,14207.554800000002,0.003,0.08115601634918729
0.001,0.12311800069411388,14285.218,0.002,0.0808065944242731
0.001,0.12311800069411388,14362.8812,0.002,0.0808065944242731
0.001,0.12255052079035009,14440.5444,0.003,0.07972763094766472
0.001,0.12132941675241211,14518.207600000002,0.002,0.07725824964841767
0.001,0.12129180211632883,14595.8708,0.001,0.07714353762969904
0.001,0.12098752118256556,14673.534,0.004,0.07603416353590878
0.001,0.12017852023628069,14751.1972,0.003,0.07436829631178377
0.001,0.12017852023628069,14828.860400000001,0.002,0.07436829631178377
0.001,0.12136246166126725,14906.5236,0.003,0.07616260728829134
0.001,0.12114302733392614,14984.1868,0.006,0.075736894965142
0.001,0.12103762361595728,15061.85,0.004,0.07552235334832536
0.001,0.12103762361595728,15139.513200000001,0.003,0.07552235334832536
0.001,0.12052961216436968,15217.1764,0.006,0.07459736879106325
0.001,0.12052961216436968,15294.8396,0.003,0.07459736879106325
0.001,0.12052961216436968,15372.5028,0.002,0.07459736879106325
0.001,0.11928732834687905,15450.166000000001,0.007,0.0718732052558193
0.001,0.11796144418060293,15527.8292,0.008,0.0693235664079385
0.001,0.11678105141949816,15605.492400000001,0.008,0.06708640884234347
0.001,0.11592257113602836,15683.155600000002,0.011,0.06543722704870789
0.001,0.11592257113602836,15760.818800000001,0.006,0.06543722704870789
0.001,0.11592257113602836,15838.482,0.01,0.06543722704870789
0.001,0.11592257113602836,15916.1452,0.013,0.06543722704870789
0.001,0.11592257113602836,15993.808400000002,0.012,0.06543722704870789
0.001,0.11457731204262134,16071.4716,0.015,0.06290532797921819
0.001,0.11457731204262134,16149.1348,0.013,0.06290532797921819
0.001,0.11457731204262134,16226.798,0.014,0.06290532797921819
0.001,0.11457731204262134,16304.461200000002,0.01,0.06290532797921819
0.001,0.11457731204262134,16382.1244,0.01,0.06290532797921819
0.002,0.11404894292044411,16459.7876,0.014,0.061773217630961774
0.001,0.11434402211184669,16537.4508,0.01,0.06213874994081375
0.001,0.11434402211184669,16615.114,0.018,0.06213874994081375
0.001,0.11434402211184669,16692.7772,0.014,0.06213874994081375
0.001,0.11420636626674795,16770.4404,0.015,0.06173364292686461
0.001,0.11409709582768893,16848.103600000002,0.014,0.06151379207260246
0.001,0.11254024456840753,16925.766799999998,0.026,0.05850541737727549
